status,source_URLs,name,Column 2,Column 3,Column 4
OK: row 1 of 25,https://www.facebook.com/CareyBalboa,,,,|
OK: row 2 of 25,https://www.facebook.com/CareyBalboa,,,,
OK: row 3 of 25,https://www.facebook.com/CareyBalboa,,,,||
OK: row 4 of 25,https://www.facebook.com/CareyBalboa,,,,||
OK: row 5 of 25,https://www.facebook.com/CareyBalboa,,,,|
OK: row 6 of 25,https://www.facebook.com/CareyBalboa,,,,|
OK: row 7 of 25,https://www.facebook.com/CareyBalboa,,,,
OK: row 8 of 25,https://www.facebook.com/CareyBalboa,,,,|
OK: row 9 of 25,https://www.facebook.com/CareyBalboa,,,,|||
OK: row 10 of 25,https://www.facebook.com/CareyBalboa,Technical Director - Research,,,||||||||
OK: row 11 of 25,https://www.facebook.com/CareyBalboa,,,,https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.it-help.tech%2F%3Ffbclid%3DIwZXh0bgNhZW0CMTAAYnJpZBExSzVWTHFOSFNlZUNnbEpsNXNydGMGYXBwX2lkEDIyMjAzOTE3ODgyMDA4OTIAAR6CbVA7IAtv9yZJRePcS4rzuSyBwDrBYl22h1wQEXJ9CQKEUePAgbXAy9_1nQ_aem_90HquGXYPxFwUzxDaBQiow&h=AUBR74dpFIPOOQ5Ijel7I2YUrhGFWrRvPjHXuEGKGFMDD2eO54SG_3gURc7-U3hLOnytkgWlF9VYLGmmBEazADno4H4HeobcKtCc0Y_3cSCbZe6NseP1pzAorHWRFnxMlPMsfTwkklFaIVUifcsYk6bvKA|https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.it-help.tech%2F%3Ffbclid%3DIwZXh0bgNhZW0CMTAAYnJpZBExSzVWTHFOSFNlZUNnbEpsNXNydGMGYXBwX2lkEDIyMjAzOTE3ODgyMDA4OTIAAR6CbVA7IAtv9yZJRePcS4rzuSyBwDrBYl22h1wQEXJ9CQKEUePAgbXAy9_1nQ_aem_90HquGXYPxFwUzxDaBQiow&h=AUBR74dpFIPOOQ5Ijel7I2YUrhGFWrRvPjHXuEGKGFMDD2eO54SG_3gURc7-U3hLOnytkgWlF9VYLGmmBEazADno4H4HeobcKtCc0Y_3cSCbZe6NseP1pzAorHWRFnxMlPMsfTwkklFaIVUifcsYk6bvKA|https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.it-help.tech%2F%3Ffbclid%3DIwZXh0bgNhZW0CMTAAYnJpZBExSzVWTHFOSFNlZUNnbEpsNXNydGMGYXBwX2lkEDIyMjAzOTE3ODgyMDA4OTIAAR6CbVA7IAtv9yZJRePcS4rzuSyBwDrBYl22h1wQEXJ9CQKEUePAgbXAy9_1nQ_aem_90HquGXYPxFwUzxDaBQiow&h=AUBR74dpFIPOOQ5Ijel7I2YUrhGFWrRvPjHXuEGKGFMDD2eO54SG_3gURc7-U3hLOnytkgWlF9VYLGmmBEazADno4H4HeobcKtCc0Y_3cSCbZe6NseP1pzAorHWRFnxMlPMsfTwkklFaIVUifcsYk6bvKA||||https://l.facebook.com/l.php?u=https%3A%2F%2Fdnstool.it-help.tech%2F%3Ffbclid%3DIwZXh0bgNhZW0CMTAAYnJpZBExSzVWTHFOSFNlZUNnbEpsNXNydGMGYXBwX2lkEDIyMjAzOTE3ODgyMDA4OTIAAR4pMnuhzc3_GdWzt8uIrJi9zIGaQfKq1ZP_2xvCXoCjSdXrFTLsa9MroGUzbA_aem_qtOUge8pUuY5OvWju_7HKw&h=AUD3EXhdKhU9Nby5aqPKdpH1_UB5kt0HjxSe4HVX5c8a2LMx3RCsE-dGJ3f1phTQLFCgwvOSn5USSzrbhj2I7Hp99gplDXznM96qqkA_j1wN7HmTY3WxQrtl_Vp65CvEb5aMo2RdBVcEOBEcfKmKrs6cEQ||||https://l.facebook.com/l.php?u=https%3A%2F%2Fdnstool.it-help.tech%2Fcorpus%3Ffbclid%3DIwZXh0bgNhZW0CMTAAYnJpZBExSzVWTHFOSFNlZUNnbEpsNXNydGMGYXBwX2lkEDIyMjAzOTE3ODgyMDA4OTIAAR6CbVA7IAtv9yZJRePcS4rzuSyBwDrBYl22h1wQEXJ9CQKEUePAgbXAy9_1nQ_aem_90HquGXYPxFwUzxDaBQiow&h=AUBwN4wDbgKRO-ynGLHmopsnFlOoGMz9RsIQS7OXAaaxnZWEFIpmu_w7TOwq4zdLhLH0PYZEpoiL-xScPvQ9eOT7FciZnsxgmesXTjhV3TLAu6ShUME2fqOYXMnRH9i9zDCWO3h2jCtRke9rJhMccFhOkg
OK: row 12 of 25,https://www.facebook.com/CareyBalboa,,,,
OK: row 13 of 25,https://www.facebook.com/CareyBalboa,,,,
OK: row 14 of 25,https://www.facebook.com/CareyBalboa,,,,||||||||
OK: row 15 of 25,https://www.facebook.com/CareyBalboa,,,,||
OK: row 16 of 25,https://www.facebook.com/CareyBalboa,,,,||
OK: row 17 of 25,https://www.facebook.com/CareyBalboa,,,,||
OK: row 18 of 25,https://www.facebook.com/CareyBalboa,,,,|||
OK: row 19 of 25,https://www.facebook.com/CareyBalboa,,,,
OK: row 20 of 25,https://www.facebook.com/CareyBalboa,Buzz M Kiefer,See more,I'm sitting on a problem that the smartest people in my organization don't seem to be able to solve.  The problem is that I ne… See more,https://www.facebook.com/buzz.kiefer?comment_id=Y29tbWVudDoyNjM2NDY4OTM2NzU1MDk4Xzk2MjgyNzU5MDAzOTQ3Nw%3D%3D&__cft__[0]=AZaKaV9hiC4WTI2j4uTVoxLHXB0PJrTW8-q0XY8W3TABTbccvE5c49rYhi0tR0Eb2aRnnX4nkRZYnP37z18U38ar7igjvf9LC0C11t3z45azSyS34DAh-xTCGOiK3Z1cLU4&__tn__=R-R|https://www.facebook.com/buzz.kiefer?comment_id=Y29tbWVudDoyNjM2NDY4OTM2NzU1MDk4Xzk2MjgyNzU5MDAzOTQ3Nw%3D%3D&__cft__[0]=AZaKaV9hiC4WTI2j4uTVoxLHXB0PJrTW8-q0XY8W3TABTbccvE5c49rYhi0tR0Eb2aRnnX4nkRZYnP37z18U38ar7igjvf9LC0C11t3z45azSyS34DAh-xTCGOiK3Z1cLU4&__tn__=R-R|||
OK: row 21 of 25,https://www.facebook.com/CareyBalboa,,,,
OK: row 22 of 25,https://www.facebook.com/CareyBalboa,,,,
OK: row 23 of 25,https://www.facebook.com/CareyBalboa,,,,
OK: row 24 of 25,https://www.facebook.com/CareyBalboa,,,,
OK: row 25 of 25,https://www.facebook.com/CareyBalboa,,,,
